region,segment,order_year,sales,profit,order_id
Central,Consumer,2014,67316.46,-1418.8000000000004,131
Central,Consumer,2015,49662.28,1762.29,115
Central,Consumer,2016,66707.06,5239.82,142
Central,Consumer,2017,68345.63,2980.74,216
Central,Corporate,2014,19901.95,-620.9399999999999,63
Central,Corporate,2015,29079.73,5991.19,66
Central,Corporate,2016,60714.100000000006,12442.33,107
Central,Corporate,2017,48300.01,891.3200000000002,112
Central,Home Office,2014,16619.75,2579.31,36
Central,Home Office,2015,24132.23,3963.3,53
Central,Home Office,2016,20008.260000000002,2217.04,56
Central,Home Office,2017,30452.420000000002,3678.85,78
East,Consumer,2014,76503.6,11420.9,147
East,Consumer,2015,85033.19,10041.26,141
East,Consumer,2016,93917.98999999999,6108.07,185
East,Consumer,2017,95453.39,13620.73,240
East,Corporate,2014,37640.07,1174.8500000000001,74
East,Corporate,2015,44717.06,6015.12,91
East,Corporate,2016,53295.340000000004,7848.889999999999,122
East,Corporate,2017,64756.98,8583.74,147
East,Home Office,2014,14536.78,4463.83,40
East,Home Office,2015,26581.76,5034.73,64
East,Home Office,2016,33472.62,6184.62,67
East,Home Office,2017,52872.58,11026.1,83
South,Consumer,2014,32310.84,3199.68,83
South,Consumer,2015,49206.24,5724.280000000001,93
South,Consumer,2016,53104.18,10674.82,118
South,Consumer,2017,60959.659999999996,7314.85,150
South,Corporate,2014,34684.72,7702.2,62
South,Corporate,2015,18107.32,1896.3000000000002,58
South,Corporate,2016,26694.91,4097.59,56
South,Corporate,2017,42399.0,1519.3100000000002,71
South,Home Office,2014,36850.32,977.2900000000002,20
South,Home Office,2015,4046.41,698.0500000000001,19
South,Home Office,2016,13811.14,2930.52,40
South,Home Office,2017,19547.16,14.82000000000014,52
West,Consumer,2014,89965.98,11118.039999999999,163
West,Consumer,2015,82634.18000000001,10932.37,186
West,Consumer,2016,83134.74,13748.21,206
West,Consumer,2017,107145.92,21652.07,270
West,Corporate,2014,36208.15,5257.2699999999995,88
West,Corporate,2015,36853.19,6785.75,97
West,Corporate,2016,66402.06,6606.35,137
West,Corporate,2017,86391.85,15788.18,163
West,Home Office,2014,21708.94,3690.43,62
West,Home Office,2015,20478.87,2774.05,55
West,Home Office,2016,37943.46,3697.01,79
West,Home Office,2017,56590.59,6369.0599999999995,105
