customer_id,cluster
AA-10315,1
AA-10375,0
AA-10480,1
AA-10645,0
AB-10015,3
AB-10060,2
AB-10105,2
AB-10150,1
AB-10165,0
AB-10255,0
AB-10600,1
AC-10420,1
AC-10450,0
AC-10615,1
AC-10660,1
AD-10180,0
AF-10870,0
AF-10885,3
AG-10270,1
AG-10300,1
AG-10330,1
AG-10390,1
AG-10495,0
AG-10525,3
AG-10675,0
AG-10765,1
AG-10900,0
AH-10030,0
AH-10075,0
AH-10120,0
AH-10195,1
AH-10210,0
AH-10465,1
AH-10585,1
AH-10690,2
AI-10855,0
AJ-10780,0
AJ-10795,0
AJ-10945,0
AJ-10960,1
AM-10360,1
AM-10705,0
AO-10810,3
AP-10720,0
AP-10915,0
AR-10345,1
AR-10405,1
AR-10510,1
AR-10540,2
AR-10570,3
AR-10825,0
AS-10045,0
AS-10090,0
AS-10135,1
AS-10225,1
AS-10240,1
AS-10285,1
AS-10630,1
AT-10435,1
AT-10735,0
AW-10840,1
AW-10930,0
AY-10555,1
AZ-10750,1
BB-10990,1
BB-11545,2
BC-11125,0
BD-11320,0
BD-11500,0
BD-11560,1
BD-11605,0
BD-11620,1
BD-11635,1
BD-11725,1
BD-11770,1
BE-11335,1
BE-11410,1
BE-11455,1
BF-10975,1
BF-11005,1
BF-11020,0
BF-11080,1
BF-11170,0
BF-11215,1
BF-11275,1
BG-11035,0
BG-11695,1
BG-11740,1
BH-11710,0
BK-11260,1
BM-11140,2
BM-11575,1
BM-11650,2
BM-11785,0
BN-11470,1
BN-11515,1
BO-11350,1
BO-11425,1
BP-11050,1
BP-11095,0
BP-11155,1
BP-11185,0
BP-11230,1
BP-11290,0
BS-11365,2
BS-11380,1
BS-11590,1
BS-11665,3
BS-11755,0
BS-11800,1
BT-11305,1
BT-11395,1
BT-11440,3
BT-11485,3
BT-11530,1
BT-11680,0
BV-11245,1
BW-11065,1
BW-11110,0
BW-11200,1
CA-11965,1
CA-12055,3
CA-12265,0
CA-12310,1
CA-12775,0
CB-12025,0
CB-12415,0
CB-12535,0
CC-12100,3
CC-12145,0
CC-12220,0
CC-12370,2
CC-12430,0
CC-12475,0
CC-12550,1
CC-12610,0
CC-12670,0
CC-12685,3
CD-11920,1
CD-11980,1
CD-12280,1
CD-12790,3
CG-12040,1
CG-12520,3
CH-12070,3
CJ-11875,3
CJ-12010,2
CK-12205,0
CK-12325,1
CK-12595,0
CK-12760,0
CL-11890,1
CL-12565,2
CL-12700,1
CM-11815,1
CM-11935,3
CM-12115,1
CM-12160,1
CM-12190,1
CM-12235,3
CM-12385,2
CM-12445,3
CM-12655,0
CM-12715,3
CP-12085,0
CP-12340,0
CR-12580,1
CR-12625,3
CR-12730,1
CR-12820,1
CS-11845,1
CS-11860,1
CS-11950,0
CS-12130,3
CS-12175,1
CS-12250,0
CS-12355,0
CS-12400,0
CS-12460,1
CS-12490,3
CS-12505,0
CT-11995,0
CV-12295,1
CV-12805,0
CW-11905,1
CY-12745,0
Co-12640,3
DA-13450,3
DB-12910,0
DB-12970,1
DB-13060,0
DB-13120,0
DB-13210,0
DB-13270,0
DB-13360,1
DB-13405,1
DB-13555,0
DB-13615,0
DB-13660,1
DC-12850,0
DC-13285,1
