customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,cluster
AA-10315,3352,5,5563.56,2,2,5,9,1
AA-10375,3187,9,1056.39,5,5,2,12,0
AA-10480,3427,4,1790.51,1,1,3,5,1
AA-10645,3223,6,5086.9400000000005,3,3,5,11,0
AB-10015,3583,3,886.15,1,1,1,3,3
AB-10060,3222,8,7755.63,3,4,5,12,2
AB-10105,3209,10,14473.57,4,5,5,14,2
AB-10150,3209,5,966.71,4,2,2,8,1
AB-10165,3193,8,1113.8500000000001,5,4,2,11,0
AB-10255,3334,9,914.53,2,5,1,8,0
AB-10600,3218,4,1515.86,4,1,2,7,1
AC-10420,3400,3,925.8000000000001,1,1,1,3,1
AC-10450,3179,7,5527.85,5,3,5,13,0
AC-10615,3174,5,2537.69,5,2,3,10,1
AC-10660,3450,5,657.3100000000001,1,2,1,4,1
AD-10180,3197,8,6106.88,4,4,5,13,0
AF-10870,3209,7,2052.9100000000003,4,3,3,10,0
AF-10885,3583,4,861.57,1,1,1,3,3
AG-10270,3446,5,2582.9,1,2,3,6,1
AG-10300,3286,4,367.55,2,1,1,4,1
AG-10330,3176,5,660.97,5,2,1,8,1
AG-10390,3282,5,200.95,2,2,1,5,1
AG-10495,3246,8,2356.86,3,4,3,10,0
AG-10525,4013,4,1455.0400000000002,1,1,2,4,3
AG-10675,3265,7,3489.06,3,3,4,10,0
AG-10765,3245,4,170.59,3,1,1,5,1
AG-10900,3264,10,4510.79,3,5,5,13,0
AH-10030,3180,7,1744.6999999999998,5,3,3,11,0
AH-10075,3202,10,3250.35,4,5,4,13,0
AH-10120,3228,7,1735.53,3,3,2,8,0
AH-10195,3223,4,1587.45,3,1,2,6,1
AH-10210,3174,9,4805.35,5,5,5,15,0
AH-10465,3398,5,2495.4,1,2,3,6,1
AH-10585,3189,4,738.5,5,1,1,7,1
AH-10690,3578,12,7888.3,1,5,5,11,2
AI-10855,3181,10,4375.79,5,5,5,15,0
AJ-10780,3243,7,4867.34,3,3,5,11,0
AJ-10795,3334,7,4501.39,2,3,5,10,0
AJ-10945,3253,7,1839.24,3,3,3,9,0
AJ-10960,3242,3,629.25,3,1,1,5,1
AM-10360,3196,5,814.01,4,2,1,7,1
AM-10705,3330,8,5664.0199999999995,2,4,5,11,0
AO-10810,3669,1,161.28,1,1,1,3,3
AP-10720,3209,8,1638.55,4,4,2,10,0
AP-10915,3266,10,3323.55,3,5,4,12,0
AR-10345,3279,4,1055.69,2,1,2,5,1
AR-10405,3293,5,2236.12,2,2,3,7,1
AR-10510,3182,5,264.87,5,2,1,8,1
AR-10540,3174,6,6608.450000000001,5,3,5,13,2
AR-10570,3702,1,88.15,1,1,1,3,3
AR-10825,3226,8,4523.33,3,4,5,12,0
AS-10045,3256,7,3050.69,3,3,4,10,0
AS-10090,3196,9,3255.3,4,5,4,13,0
AS-10135,3209,2,58.82,4,1,1,6,1
AS-10225,3190,5,4260.78,5,2,4,11,1
AS-10240,3360,7,584.62,2,3,1,6,1
